Time*,C-2DPS-2 Instron Force (kN),C-2DPS-2 Extensometer (mm/mm)
0,0.015064735,-2.91E-07
0.5,0.015028972,-7.83E-07
1,0.015007515,-7.83E-07
1.5,0.015068311,-2.08E-06
2,0.015057583,-2.03E-06
2.5,0.015039701,-1.27E-06
3,0.015071888,-1.36E-06
3.5,0.01499321,-8.73E-07
4,0.015082617,-1.86E-06
4.5,0.015075464,-3.60E-06
5,0.01507904,-1.45E-06
5.5,0.015032549,-1.01E-06
6,0.015068311,-3.96E-06
6.5,0.015011091,-1.01E-06
7,0.015007515,-2.62E-06
7.5,0.015043277,-2.26E-06
8,0.015089769,-1.99E-06
8.5,0.014932413,-2.79E-06
9,0.014986057,-3.42E-06
9.5,0.015043277,-3.51E-06
10,0.015036125,-4.00E-06
10.5,0.015089769,-2.71E-06
11,0.015168447,-3.24E-06
11.5,0.015057583,-5.34E-06
12,0.015104074,-3.55E-06
12.5,0.01502182,-4.85E-06
13,0.014950294,-4.81E-06
13.5,0.01502182,-5.83E-06
14,0.015000362,-5.34E-06
14.5,0.015096922,-5.07E-06
15,0.015036125,-5.70E-06
15.5,0.015000362,-5.70E-06
16,0.014996786,-4.36E-06
16.5,0.015100498,-7.13E-06
17,0.015046854,-6.10E-06
17.5,0.01510765,-6.19E-06
18,0.015154142,-6.33E-06
18.5,0.015093345,-7.40E-06
19,0.014996786,-4.23E-06
19.5,0.01510765,-8.07E-06
20,0.014696378,-8.52E-06
20.5,0.015543956,-6.10E-06
21,0.022102852,-6.73E-06
21.5,0.02221014,1.76E-06
22,0.015307922,1.24E-05
22.5,0.017239113,1.65E-05
23,0.016860027,2.47E-05
23.5,0.021544952,-1.10E-05
24,0.024674197,-0.000113928
24.5,0.03358986,-0.0001513
25,0.032173653,-0.000246876
25.5,0.026397963,-0.000295424
26,0.027942915,-0.000258856
26.5,0.032127162,-0.0002779
27,0.029015799,-0.00026516
27.5,0.031755229,-0.000257471
28,0.034101268,-0.000256219
28.5,0.047279855,-0.000260913
29,0.050455591,-0.000307002
29.5,0.073029064,-0.00031487
30,0.088110232,-0.000307449
30.5,0.138882663,-0.000311204
31,0.198910505,-0.000313976
31.5,0.343324223,-0.000293636
32,0.590133958,-0.000252285
32.5,0.785352295,-0.000221216
33,0.884450983,-0.000208476
33.5,0.868411372,-0.000195154
34,0.877609562,-0.000201189
34.5,0.926275565,-0.000192069
35,0.949213818,-0.000186526
35.5,0.95709236,-0.000185811
36,0.982008295,-0.000181653
36.5,1.038209518,-0.000152686
37,1.028267463,-0.000153267
37.5,1.026300509,-0.000153714
38,1.024526675,-0.000154429
38.5,1.023614724,-0.00015501
39,1.023586114,-0.000154206
39.5,1.023232062,-0.000154518
40,1.022298653,-0.000154921
40.5,1.021776517,-0.000155278
41,1.021197159,-0.000153937
41.5,1.02097543,-0.000154518
42,1.020921786,-0.000154384
42.5,1.020785887,-0.000154697
43,1.020875294,-0.000154027
43.5,1.020907481,-0.000153803
44,1.020771582,-0.000154518
44.5,1.020878871,-0.000154429
45,1.020757277,-0.000155234
45.5,1.020700057,-0.000154295
46,1.020642836,-0.000155591
46.5,1.020524819,-0.000154474
47,1.020356734,-0.000154563
47.5,1.020224412,-0.000154474
48,1.020160038,-0.000154921
48.5,1.019902546,-0.000153624
49,1.019555647,-0.000154429
49.5,1.0195628,-0.000155591
50,1.019391139,-0.000154518
50.5,1.019080002,-0.000153848
51,1.01999553,-0.00015577
51.5,1.024580319,-0.000154563
52,1.042697748,-0.000162654
52.5,1.045798382,-0.000165068
53,1.020871718,-0.00015586
53.5,1.02082165,-0.000154965
54,1.020875294,-0.000154116
54.5,1.020814498,-0.000154787
55,1.020932515,-0.000154608
55.5,1.020886023,-0.000154876
56,1.02082165,-0.000153803
56.5,1.02085026,-0.000155457
57,1.020857413,-0.000154474
57.5,1.020825226,-0.0001551
58,1.020810921,-0.00015501
58.5,1.020768006,-0.000154518
59,1.020846684,-0.000154876
59.5,1.02076443,-0.000155502
60,1.020771582,-0.00015434
60.5,1.020757277,-0.000154831
61,1.020760853,-0.000155368
61.5,1.020835955,-0.000154295
62,1.020753701,-0.000153848
62.5,1.020871718,-0.000154563
63,1.020803769,-0.00015501
63.5,1.02079304,-0.000155413
64,1.020717938,-0.000154518
64.5,1.02082165,-0.000155189
65,1.022159178,-0.000154563
65.5,1.04252251,-0.000154742
66,1.113100375,-0.000145488
66.5,1.163676111,-0.000130423
67,1.213339896,-0.000120097
67.5,1.262070272,-0.00011956
68,1.311079598,-0.000113749
68.5,1.360575298,-9.24E-05
69,1.409556014,-8.66E-05
69.5,1.457116947,-8.49E-05
70,1.503798115,-7.70E-05
70.5,1.551541439,-5.93E-05
71,1.598215455,-5.14E-05
