Time (sec),Instron Force (kN),Extensometer (mm/mm)
0,0.015189905,-1.50E-05
0.5,0.015125532,-1.48E-05
1,0.01510765,-1.40E-05
1.5,0.015100498,-1.67E-05
2,0.01505043,-2.00E-05
2.5,0.015154142,-1.52E-05
3,0.015121956,-1.70E-05
3.5,0.015182752,-1.68E-05
4,0.015100498,-1.54E-05
4.5,0.01510765,-1.84E-05
5,0.015104074,-1.88E-05
5.5,0.015071888,-1.93E-05
6,0.015161295,-1.77E-05
6.5,0.015143413,-1.86E-05
7,0.015164871,-2.27E-05
7.5,0.015118379,-2.18E-05
8,0.014996786,-2.05E-05
8.5,0.015125532,-2.16E-05
9,0.015121956,-2.17E-05
9.5,0.015046854,-2.10E-05
10,0.015061159,-2.19E-05
10.5,0.015104074,-2.00E-05
11,0.015143413,-2.07E-05
11.5,0.015064735,-2.29E-05
12,0.015082617,-2.35E-05
12.5,0.01510765,-2.40E-05
13,0.015064735,-2.64E-05
13.5,0.01510765,-2.50E-05
14,0.015100498,-2.37E-05
14.5,0.015136261,-2.56E-05
15,0.01514699,-2.87E-05
15.5,0.015036125,-2.63E-05
16,0.015111227,-2.80E-05
16.5,0.015150566,-2.55E-05
17,0.015157718,-2.80E-05
17.5,0.01514699,-2.66E-05
18,0.015218515,-2.66E-05
18.5,0.015000362,-3.02E-05
19,0.01499321,-2.96E-05
19.5,0.01507904,-3.07E-05
20,0.015157718,-3.00E-05
20.5,0.015168447,-2.95E-05
21,0.015161295,-3.14E-05
21.5,0.015164871,-3.34E-05
22,0.015186329,-3.04E-05
22.5,0.015007515,-3.25E-05
23,0.015064735,-3.30E-05
23.5,0.015132684,-3.34E-05
24,0.015132684,-3.37E-05
24.5,0.0151756,-3.49E-05
25,0.015100498,-3.72E-05
25.5,0.015132684,-3.63E-05
26,0.0151756,-3.64E-05
26.5,0.015118379,-3.82E-05
27,0.015096922,-3.73E-05
27.5,0.015121956,-3.50E-05
28,0.015061159,-3.68E-05
28.5,0.01514699,-3.86E-05
29,0.015100498,-3.65E-05
