Time,Instron Force (kN),Extensometer (mm/mm)
0,0.010520371,1.18392E-06
0.5,0.010931643,9.15703E-07
1,0.010985287,1.18392E-06
1.5,0.010842236,-1.14066E-06
2,0.010287913,-3.64405E-06
2.5,0.010556134,-1.85591E-06
3,0.010663422,-5.61101E-06
3.5,0.010484608,-6.68389E-06
4,0.010627659,-9.54491E-06
4.5,0.010627659,-5.96863E-06
5,0.01077071,-4.35931E-06
5.5,0.010931643,-7.66737E-06
6,0.010788592,-7.30974E-06
6.5,0.010681303,-1.10648E-05
7,0.010663422,-1.05284E-05
7.5,0.010877999,-1.16013E-05
8,0.010556134,-1.32106E-05
8.5,0.011056813,-1.29424E-05
9,0.011003169,-1.0439E-05
9.5,0.010591897,-1.24059E-05
10,0.010877999,-1.15119E-05
10.5,0.010234269,-1.15119E-05
11,0.010806473,-1.18695E-05
11.5,0.010609778,-9.72373E-06
12,0.010484608,-1.44623E-05
12.5,0.01077071,-1.09754E-05
13,0.010609778,-1.45517E-05
13.5,0.01102105,-1.44623E-05
14,0.010591897,-1.31212E-05
14.5,0.010663422,-1.05284E-05
15,0.010645541,-1.07072E-05
15.5,0.01037732,-1.11542E-05
16,0.010162743,-1.25847E-05
16.5,0.010734948,-5.96863E-06
17,0.010609778,-1.18695E-05
17.5,0.010520371,-1.25847E-05
18,0.011003169,-1.14225E-05
18.5,0.010717066,-1.30318E-05
19,0.010341557,-1.09754E-05
19.5,0.010860117,-1.15119E-05
20,0.010985287,-1.96479E-05
20.5,0.011110457,-2.79627E-05
21,0.010663422,-3.35954E-05
21.5,0.00883952,-3.0645E-05
22,0.009626301,-0.000191756
22.5,0.010484608,-0.000232079
23,0.010717066,-0.00023038
23.5,0.010430964,-0.000229039
24,0.009787234,-0.000220009
24.5,0.010877999,-0.000227609
25,0.035464916,-0.000227161
25.5,-0.030678362,-0.000214823
26,0.318992307,-0.000197389
26.5,0.296533276,-0.000186571
27,0.226473972,-0.00022439
27.5,0.86963197,-0.000162878
28,1.080471492,-0.000139721
28.5,1.181644422,-0.000122019
29,1.171934825,-0.000122019
29.5,1.257926451,-0.000109055
30,1.321155062,-9.72532E-05
30.5,1.351142161,-9.5465E-05
31,1.348942749,-9.82366E-05
31.5,0.508552971,-0.000156351
32,0.502473296,-0.000151791
32.5,0.502848806,-0.000151881
33,0.50585288,-0.000150719
33.5,0.511789503,-0.000150271
34,0.515258493,-0.00015054
34.5,0.516188326,-0.000149914
35,0.516277733,-0.000150987
35.5,0.516170445,-0.000150361
36,0.516224089,-0.000150808
36.5,0.516313496,-0.000151344
37,0.516277733,-0.000150987
37.5,0.516313496,-0.000151076
38,0.516313496,-0.000151881
38.5,0.516420784,-0.000152417
39,0.51649231,-0.000152328
39.5,0.516438665,-0.000151613
40,0.516563835,-0.000151076
40.5,0.516456547,-0.000149467
41,0.51636714,-0.000150808
41.5,0.51649231,-0.000151434
42,0.516224089,-0.000150808
42.5,0.51649231,-0.00015349
43,0.5161168,-0.000152328
43.5,0.516081038,-0.00015197
44,0.516402903,-0.00015045
44.5,0.51624197,-0.00014893
45,0.516402903,-0.000150629
45.5,0.516331377,-0.000151344
46,0.516599598,-0.00015197
46.5,0.51624197,-0.000151344
47,0.516385021,-0.000150629
47.5,0.516545954,-0.000152328
48,0.516313496,-0.00015197
48.5,0.516170445,-0.000149646
49,0.516206207,-0.000151166
49.5,0.516188326,-0.000152417
50,0.516510191,-0.000149467
50.5,0.516563835,-0.000151791
51,0.516402903,-0.000151791
51.5,0.516349259,-0.000151702
52,0.516385021,-0.000150987
52.5,0.516259852,-0.000152238
53,0.516563835,-0.000149646
53.5,0.516349259,-0.000151166
54,0.516313496,-0.000151344
54.5,0.516528072,-0.000151434
55,0.516152563,-0.000150808
55.5,0.5161168,-0.000150808
56,0.516277733,-0.000152149
56.5,0.516474428,-0.000150629
57,0.51636714,-0.000150719
57.5,0.516581717,-0.000149824
58,0.516456547,-0.000151523
58.5,0.516385021,-0.000153133
59,0.516349259,-0.000152328
59.5,0.516063156,-0.000151434
60,0.516134682,-0.000150719
60.5,0.516563835,-0.00015054
